position,entry_time,entry_price,exit_time,exit_price,profit,profit_pct,duration,reason
LONG,2024-12-06 11:38:00-05:00,26.534299850463867,2024-12-06 11:40:00-05:00,26.39699935913086,-0.1373004913330078,-0.5174453145806579,2.0,Stop Loss
LONG,2024-12-06 11:48:00-05:00,26.540000915527344,2024-12-06 12:14:00-05:00,26.739999771118164,0.1999988555908203,0.7535751646255977,26.0,Reversal
LONG,2024-12-06 12:18:00-05:00,26.926000595092773,2024-12-06 12:54:00-05:00,26.84000015258789,-0.08600044250488281,-0.31939553072934374,36.0,Reversal
SHORT,2024-12-06 12:59:00-05:00,26.700000762939453,2024-12-06 13:06:00-05:00,26.789899826049805,-0.08989906311035156,-0.336700601279138,7.0,Reversal
LONG,2024-12-06 13:10:00-05:00,26.84499931335449,2024-12-06 13:13:00-05:00,26.704200744628903,-0.14079856872558594,-0.5244871384874402,3.0,Stop Loss
SHORT,2024-12-06 13:17:00-05:00,26.675199508666992,2024-12-06 13:22:00-05:00,26.899999618530277,-0.2248001098632848,-0.8427307536734464,5.0,Stop Loss
LONG,2024-12-06 13:23:00-05:00,26.92259979248047,2024-12-06 13:44:00-05:00,26.93000030517578,0.0074005126953125,0.02748810572662257,21.0,Reversal
SHORT,2024-12-06 13:50:00-05:00,26.845399856567383,2024-12-06 14:07:00-05:00,26.899999618530277,-0.05459976196289418,-0.2033859143637864,17.0,Reversal
LONG,2024-12-06 14:08:00-05:00,27.08449935913086,2024-12-06 14:21:00-05:00,26.909900665283203,-0.17459869384765625,-0.6446443463197878,13.0,Stop Loss
SHORT,2024-12-06 14:23:00-05:00,26.920000076293945,2024-12-06 14:28:00-05:00,27.1299991607666,-0.20999908447265625,-0.7800857499164118,5.0,Stop Loss
LONG,2024-12-06 14:34:00-05:00,27.03249931335449,2024-12-06 14:35:00-05:00,26.899999618530277,-0.13249969482421164,-0.4901496280025971,1.0,Reversal
SHORT,2024-12-06 14:36:00-05:00,26.92799949645996,2024-12-06 14:58:00-05:00,27.06999969482422,-0.1420001983642578,-0.5273328914868912,22.0,Stop Loss
SHORT,2024-12-06 15:08:00-05:00,26.86000061035156,2024-12-06 15:19:00-05:00,27.045000076293945,-0.18499946594238637,-0.688754511312593,11.0,Stop Loss
LONG,2024-12-06 15:20:00-05:00,27.07999992370605,2024-12-06 15:31:00-05:00,26.899999618530277,-0.18000030517577414,-0.664698322314988,11.0,Stop Loss
LONG,2024-12-06 15:38:00-05:00,27.03499984741211,2024-12-06 15:41:00-05:00,26.864900588989254,-0.17009925842285512,-0.6291816511296842,3.0,Stop Loss
SHORT,2024-12-06 15:43:00-05:00,26.825000762939453,2024-12-06 15:59:00-05:00,26.59000015258789,0.2350006103515625,0.8760507126479999,16.0,End of Day
SHORT,2024-12-09 09:35:00-05:00,25.8700008392334,2024-12-09 09:36:00-05:00,26.091800689697266,-0.2217998504638672,-0.857363135943523,1.0,Stop Loss
SHORT,2024-12-09 09:37:00-05:00,25.600000381469727,2024-12-09 09:41:00-05:00,25.739999771118164,-0.1399993896484375,-0.5468726076651721,4.0,Stop Loss
LONG,2024-12-09 09:44:00-05:00,25.799400329589844,2024-12-09 10:06:00-05:00,26.149999618530277,0.35059928894043324,1.3589435586156782,22.0,Reversal
SHORT,2024-12-09 10:14:00-05:00,25.979999542236328,2024-12-09 11:00:00-05:00,25.11000061035156,0.8699989318847692,3.348725739853807,46.0,Reversal
